"","lonL","lonR","latB","latT","smaller","avgAAUs","factor","sideSquares","avgAAUs.1"
"164",-3.68473474985953,-3.67293237483612,40.397859732888,40.4023612462436,FALSE,5.53851389043422e-05,48,4,12.65
"165",-3.68473474985953,-3.67293237483612,40.3933582195324,40.397859732888,FALSE,5.45094307611762e-05,48,4,12.5
"166",-3.68473474985953,-3.67293237483612,40.3888567061768,40.3933582195324,FALSE,5.38837541273407e-05,96,4,12.1
"167",-3.68473474985953,-3.67293237483612,40.3843551928212,40.3888567061768,FALSE,5.3394055637832e-05,48,4,12.525
"168",-3.68473474985953,-3.67293237483612,40.38171,40.3843551928212,TRUE,3.12365606883742e-05,48,4,Inf
"169",-3.67293237483612,-3.66112999981271,40.4833884866444,40.48789,FALSE,5.31503994503695e-05,48,4,12.15
"170",-3.67293237483612,-3.66112999981271,40.4788869732888,40.4833884866444,FALSE,5.3236124581635e-05,96,4,12.975
"171",-3.67293237483612,-3.66112999981271,40.4743854599332,40.4788869732888,FALSE,5.3359614247649e-05,48,4,12.8
"172",-3.67293237483612,-3.66112999981271,40.4698839465776,40.4743854599332,FALSE,5.34432508720717e-05,48,4,12.55
"173",-3.67293237483612,-3.66112999981271,40.465382433222,40.4698839465776,FALSE,5.34666267547694e-05,48,4,12.55
"174",-3.67293237483612,-3.66112999981271,40.4608809198664,40.465382433222,FALSE,5.34690649063504e-05,48,4,12.925
"175",-3.67293237483612,-3.66112999981271,40.4563794065108,40.4608809198664,FALSE,5.34690787137913e-05,48,4,12.65
"176",-3.67293237483612,-3.66112999981271,40.4518778931552,40.4563794065108,FALSE,5.34684775277287e-05,48,4,12.625
"177",-3.67293237483612,-3.66112999981271,40.4473763797996,40.4518778931552,FALSE,5.34835702002866e-05,48,4,12.675
"178",-3.67293237483612,-3.66112999981271,40.442874866444,40.4473763797996,FALSE,5.39711618775665e-05,48,4,12.775
"179",-3.67293237483612,-3.66112999981271,40.4383733530884,40.442874866444,FALSE,5.45212010861791e-05,48,4,12.25
"180",-3.67293237483612,-3.66112999981271,40.4338718397328,40.4383733530884,FALSE,5.4577596802467e-05,96,4,13.275
"181",-3.67293237483612,-3.66112999981271,40.4293703263772,40.4338718397328,FALSE,5.45338833751979e-05,48,4,12.825
"182",-3.67293237483612,-3.66112999981271,40.4248688130216,40.4293703263772,FALSE,5.4426358353957e-05,96,4,12.95
"183",-3.67293237483612,-3.66112999981271,40.420367299666,40.4248688130216,FALSE,5.45701791095027e-05,48,4,12.575
"184",-3.67293237483612,-3.66112999981271,40.4158657863104,40.420367299666,FALSE,5.48651176278788e-05,48,4,12.825
"185",-3.67293237483612,-3.66112999981271,40.4113642729548,40.4158657863104,FALSE,5.43534526168925e-05,96,4,12.9
"186",-3.67293237483612,-3.66112999981271,40.4068627595992,40.4113642729548,FALSE,5.43098399767781e-05,48,4,12.625
"187",-3.67293237483612,-3.66112999981271,40.4023612462436,40.4068627595992,FALSE,5.4322483048844e-05,48,4,12.15
"188",-3.67293237483612,-3.66112999981271,40.397859732888,40.4023612462436,FALSE,5.41723376033338e-05,48,4,12.825
"189",-3.67293237483612,-3.66112999981271,40.3933582195324,40.397859732888,FALSE,5.33425452494946e-05,48,4,12.675
"190",-3.67293237483612,-3.66112999981271,40.3888567061768,40.3933582195324,FALSE,5.31363070915259e-05,48,4,12.525
"191",-3.67293237483612,-3.66112999981271,40.3843551928212,40.3888567061768,FALSE,5.31288129349494e-05,48,4,12.575
"192",-3.67293237483612,-3.66112999981271,40.38171,40.3843551928212,TRUE,3.12196058386633e-05,48,4,Inf
"193",-3.66112999981271,-3.65181,40.4833884866444,40.48789,TRUE,4.19568575937017e-05,48,4,Inf
"194",-3.66112999981271,-3.65181,40.4788869732888,40.4833884866444,TRUE,4.198392716387e-05,48,4,Inf
"195",-3.66112999981271,-3.65181,40.4743854599332,40.4788869732888,TRUE,4.20524100358379e-05,48,4,Inf
"196",-3.66112999981271,-3.65181,40.4698839465776,40.4743854599332,TRUE,4.21338210625189e-05,48,4,Inf
"197",-3.66112999981271,-3.65181,40.465382433222,40.4698839465776,TRUE,4.21899155266705e-05,48,4,Inf
"198",-3.66112999981271,-3.65181,40.4608809198664,40.465382433222,TRUE,4.22134545770736e-05,48,4,Inf
"199",-3.66112999981271,-3.65181,40.4563794065108,40.4608809198664,TRUE,4.22199351597876e-05,48,4,Inf
"200",-3.66112999981271,-3.65181,40.4518778931552,40.4563794065108,TRUE,4.22212713405479e-05,48,4,Inf
"201",-3.66112999981271,-3.65181,40.4473763797996,40.4518778931552,TRUE,4.22209985561003e-05,48,4,Inf
"202",-3.66112999981271,-3.65181,40.442874866444,40.4473763797996,TRUE,4.22276247328385e-05,48,4,Inf
"203",-3.66112999981271,-3.65181,40.4383733530884,40.442874866444,TRUE,4.23741018164614e-05,48,4,Inf
"204",-3.66112999981271,-3.65181,40.4338718397328,40.4383733530884,TRUE,4.25906245576069e-05,48,4,Inf
"205",-3.66112999981271,-3.65181,40.4293703263772,40.4338718397328,TRUE,4.26226347183309e-05,48,4,Inf
"206",-3.66112999981271,-3.65181,40.4248688130216,40.4293703263772,TRUE,4.24721163380078e-05,48,4,Inf
"207",-3.66112999981271,-3.65181,40.420367299666,40.4248688130216,TRUE,4.21860418618734e-05,48,4,Inf
"208",-3.66112999981271,-3.65181,40.4158657863104,40.420367299666,TRUE,4.2008446113037e-05,48,4,Inf
"209",-3.66112999981271,-3.65181,40.4113642729548,40.4158657863104,TRUE,4.22418434149873e-05,48,4,Inf
"210",-3.66112999981271,-3.65181,40.4068627595992,40.4113642729548,TRUE,4.23099489420294e-05,48,4,Inf
"211",-3.66112999981271,-3.65181,40.4023612462436,40.4068627595992,TRUE,4.21907658067987e-05,48,4,Inf
"212",-3.66112999981271,-3.65181,40.397859732888,40.4023612462436,TRUE,4.19625361328559e-05,48,4,Inf
"213",-3.66112999981271,-3.65181,40.3933582195324,40.397859732888,TRUE,4.19541683190549e-05,48,4,Inf
"214",-3.66112999981271,-3.65181,40.3888567061768,40.3933582195324,TRUE,4.19541674374683e-05,48,4,Inf
"215",-3.66112999981271,-3.65181,40.3843551928212,40.3888567061768,TRUE,4.19541696231798e-05,48,4,Inf
"216",-3.66112999981271,-3.65181,40.38171,40.3843551928212,TRUE,2.46532340383507e-05,48,4,Inf
