radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,214,1,273,72910851,0,-3.766619,40.259258,1717,7,1,1458912481,1505669704,0
LTE,214,1,273,71737602,0,-3.768036,40.262123,1000,4,1,1458912480,1505669763,0
LTE,214,1,273,71737603,0,-3.76115,40.272544,1000,14,1,1458912480,1492356193,0
LTE,214,1,284,73272583,0,-3.758346,40.25364,5030,14,1,1458912496,1506115521,0
UMTS,214,1,16070,8064506,0,-3.76225,40.276566,1000,23,1,1458914089,1489466074,0
UMTS,214,1,16070,8061113,0,-3.7593841552734,40.262832641602,1000,15,1,1458914088,1475475842,0
UMTS,214,1,16070,8079660,0,-3.7497711181641,40.272445678711,1000,3,1,1458914092,1484792946,0
UMTS,214,1,16070,8083819,0,-3.7676239013672,40.273818969727,1000,1,1,1458914092,1458462418,0
UMTS,214,1,16070,8119305,0,-3.7483978271484,40.261459350586,1000,1,1,1458914095,1449376374,0
UMTS,214,1,16070,8119389,0,-3.750076,40.272217,1000,18,1,1458914096,1482279681,0
UMTS,214,1,16070,8561033,0,-3.769657,40.253602,5390,10,1,1458914097,1505365404,0
UMTS,214,1,16070,8074719,0,-3.7525177001953,40.275192260742,1000,16,1,1458914091,1484792946,0
UMTS,214,1,16070,8088117,0,-3.7593841552734,40.262832641602,1000,3,1,1458914093,1488802739,0
UMTS,214,1,16070,8086178,0,-3.752346,40.275879,1000,8,1,1458914093,1484932070,0
UMTS,214,1,16070,8119357,0,-3.767349,40.254593,1000,5,1,1458914095,1473814977,0
UMTS,214,1,16070,8119353,0,-3.7648773193359,40.264205932617,1000,1,1,1458914095,1450603777,0
UMTS,214,1,16070,8072503,0,-3.760757,40.264206,1000,3,1,1458914091,1478534769,0
UMTS,214,1,16070,8072504,0,-3.7621307373047,40.258712768555,1000,1,1,1458914091,1458300820,0
UMTS,214,1,16070,8090787,0,-3.762217,40.257339,1000,16,1,1458914094,1475475842,0
UMTS,214,1,16070,8095391,0,-3.757668,40.273819,1000,4,1,1458914094,1473621268,0
UMTS,214,1,16070,8089383,0,-3.758073,40.265454,1000,22,1,1458914093,1489466074,0
UMTS,214,1,16070,8119253,0,-3.754578,40.275192,1000,2,1,1458914095,1464937593,0
