radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,3,1003,20333,0,-3.687973,40.422821,1000,12,1,1343447043,1248321142,0
GSM,214,3,1003,3763,0,-3.687973,40.422821,1000,2,1,1343447048,1248321142,0
GSM,214,3,1003,1409,0,-3.685226,40.417557,1000,15,1,1343447048,1252227743,0
GSM,214,3,1003,40704,0,-3.687973,40.422592,1000,3,1,1343447048,1248321097,0
GSM,214,3,1003,1412,0,-3.689117,40.419769,1302,18,1,1343447048,1252227833,0
GSM,214,3,1003,32284,0,-3.68586,40.419177,1000,26,1,1343447048,1252227833,0
GSM,214,3,1003,1401,0,-3.6879730224609,40.422134399414,1000,1,1,1343447054,1248321117,0
GSM,214,7,2819,1195,0,-3.699646,40.413895,1000,2,1,1343447592,1384246478,0
GSM,214,7,2815,32,0,-3.680534,40.478096,1000,12,1,1343455963,1252326184,0
GSM,214,7,2815,3501,0,-3.677416,40.484276,1187,48,1,1343455963,1492001126,0
GSM,214,7,2815,31,0,-3.678635,40.479172,1000,30,1,1343455963,1491147458,0
GSM,214,7,2815,23,0,-3.67903,40.481742,1021,84,1,1343455963,1492001126,0
GSM,214,7,2815,572,0,-3.676773,40.484924,1417,90,1,1343455963,1492001126,0
GSM,214,7,2815,3506,0,-3.680283,40.474704,1000,25,1,1343455963,1487974380,0
GSM,214,7,2815,1122,0,-3.679923,40.472439,1000,65,1,1343455963,1491436114,0
GSM,214,7,2815,3503,0,-3.681776,40.477401,1197,41,1,1343455963,1491436114,0
